link,data
https://thehackernews.com/2024/12/sophos-fixes-3-critical-firewall-flaws.html,Sophos has released hotfixes to address three security flaws in Sophos Firewall products that could be exploited to achieve remote code execution and allow privileged system access under certain conditions.
https://thehackernews.com/2024/12/sophos-fixes-3-critical-firewall-flaws.html,"Of the three, two are rated Critical in severity."
https://thehackernews.com/2024/12/sophos-fixes-3-critical-firewall-flaws.html,There is currently no evidence that the shortcomings have been exploited in the wild.
https://thehackernews.com/2024/12/sophos-fixes-3-critical-firewall-flaws.html,The list of vulnerabilities is as follows -
https://thehackernews.com/2024/12/sophos-fixes-3-critical-firewall-flaws.html,"The security vendor said CVE-2024-12727 impacts about 0.05% of devices, whereas CVE-2024-12728 affects approximately 0.5% of them."
https://thehackernews.com/2024/12/sophos-fixes-3-critical-firewall-flaws.html,All three identified vulnerabilities impact Sophos Firewall versions 21.0 GA (21.0.0) and older.
https://thehackernews.com/2024/12/sophos-fixes-3-critical-firewall-flaws.html,It has been remediated in the following versions -
https://thehackernews.com/2024/12/sophos-fixes-3-critical-firewall-flaws.html,"To ensure that the hotfixes have been applied, users are being recommended to follow the below-mentioned steps -"
https://thehackernews.com/2024/12/sophos-fixes-3-critical-firewall-flaws.html,"As temporary workarounds until the patches can be applied, Sophos is urging customers to restrict SSH access to only the dedicated HA link that is physically separate, and/or reconfigure HA using a sufficiently long and random custom passphrase."
https://thehackernews.com/2024/12/sophos-fixes-3-critical-firewall-flaws.html,"Another security measure that users can take is to disable WAN access via SSH, as well as ensure that User Portal and Webadmin are not exposed to WAN."
https://thehackernews.com/2024/12/sophos-fixes-3-critical-firewall-flaws.html,"The development comes a little over a week after the U.S. government unsealed charges against a Chinese national named Guan Tianfeng for allegedly exploiting a zero-day security vulnerability (CVE-2020-12271, CVSS score: 9.8) to break into about 81,000 Sophos firewalls across the world."
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,"The U.S. Cybersecurity and Infrastructure Security Ag6767ency (CISA) on Thursday added a critical security flaw impacting BeyondTrust Privileged Remote Access (PRA) and Remote Support (RS) products to the Known Exploited Vulnerabilities (KEV) catalog, citing evidence of active exploitation in the wild."
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,"The vulnerability, tracked as CVE-2024-12356 (CVSS score: 9.8), is a command injection flaw that could be exploited by a malicious actor to run arbitrary commands as the site user."
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,"""BeyondTrust Privileged Remote Access (PRA) and Remote Support (RS) contain a command injection vulnerability, which can allow an unauthenticated attacker to inject commands that are run as a site user,"" CISA said."
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,"While the issue has already been plugged into customers' cloud instances, those using self-hosted versions of the software are recommended to update to the below versions -"
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,News of active exploitation comes after BeyondTrust revealed that it was the victim of a cyber attack earlier this month that allowed unknown threat actors to breach some of its Remote Support SaaS instances.
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,"The company, which has enlisted the help of a third-party cybersecurity and forensics firm, said its investigation into the incident found that the attackers gained access to a Remote Support SaaS API key that allowed them to reset passwords for local application accounts."
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,"Its probe has since uncovered another medium-severity vulnerability (CVE-2024-12686, 6.6) which can allow an attacker with existing administrative privileges to inject commands and run as a site user."
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,The newly discovered flaw has been addressed in the below versions -
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,BeyondTrust makes no mention of either of the vulnerabilities being exploited in the wild.
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,"However, it has said that all affected customers have been notified."
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,"The exact scale of the attacks, or the identities of the threat actors behind them, is not known at present."
https://thehackernews.com/2024/12/cisa-adds-critical-flaw-in-beyondtrust.html,"The Hacker News has reached out to the company for comment, and will update the piece if we hear back."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"With the evolution of modern software development, CI/CD pipeline governance has emerged as a critical factor in maintaining both agility and compliance."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"As we enter the age of artificial intelligence (AI), the importance of robust pipeline governance has only intensified."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"With that said, we'll explore the concept of CI/CD pipeline governance and why it's vital, especially as AI becomes increasingly prevalent in our software pipelines."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"CI/CD pipeline governance refers to the framework of policies, practices, and controls that oversee the entire software delivery process."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"It ensures that every step, from the moment the code is committed to when it's deployed in production, adheres to organizational standards, security protocols, and regulatory requirements."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"In DevOps, this governance acts as a guardrail, allowing teams to move fast without compromising on quality, security, or compliance."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"It's about striking the delicate balance between agility and control, ensuring that the rapid pace of DevOps doesn't lead to increased risks or compliance violations."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"Governance frameworks encompass various aspects such as access control, change management, security checks, quality assurance, and comprehensive audit trails throughout the automated delivery process."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"They provide a structured approach to managing risks, ensuring consistency, and adhering to both internal standards and external regulations."
